"Apertium individual as object in a triple,""Property to use with lexical entry as subject",,,,
"(not necessarily pos)"",""Lexinfo individual OR Apertium individual OR blank node",,,,
"as object"",Abbreviation for URI,Comments",,,,
apertium:gpr_past,lexinfo:morphosyntacticProperty,apertium:gpr_past,,
apertium:gpr_pot,lexinfo:morphosyntacticProperty,apertium:gpr_pot,,
apertium:gpr_ppot,lexinfo:morphosyntacticProperty,apertium:gpr_ppot,,
apertium:gra,lexinfo:morphosyntacticProperty,apertium:gra,,
apertium:GRA,lexinfo:morphosyntacticProperty,apertium:GRA,,
apertium:GU,lexinfo:morphosyntacticProperty,apertium:GU,,
apertium:guess,lexinfo:morphosyntacticProperty,apertium:guess,,
apertium:guio,lexinfo:partOfSpeech,lexinfo:punctuation,punct,
apertium:guio,lexinfo:morphosyntacticProperty,apertium:guio,,
apertium:HAIEK,lexinfo:morphosyntacticProperty,apertium:HAIEK,,
apertium:HAOS,lexinfo:morphosyntacticProperty,apertium:HAOS,,
apertium:HAUT,lexinfo:morphosyntacticProperty,apertium:HAUT,,
apertium:HELB,lexinfo:morphosyntacticProperty,apertium:HELB,,
apertium:HI,lexinfo:morphosyntacticProperty,apertium:HI,,
apertium:hs,lexinfo:morphosyntacticProperty,apertium:hs,,
apertium:HUR,lexinfo:morphosyntacticProperty,apertium:HUR,,
apertium:HURA,lexinfo:morphosyntacticProperty,apertium:HURA,,
apertium:hyd,lexinfo:morphosyntacticProperty,apertium:hyd,,
apertium:hyd,lexinfo:partOfSpeech,lexinfo:properNoun,propn,
apertium:ideo,lexinfo:morphosyntacticProperty,apertium:ideo,,
apertium:ifi,lexinfo:morphosyntacticProperty,apertium:ifi,,
apertium:ifi,lexinfo:tense,lexinfo:preterite,,
apertium:ij,lexinfo:partOfSpeech,lexinfo:interjection,intj,
apertium:ill,lexinfo:case,lexinfo:illativeCase,,
apertium:imp,lexinfo:mood,lexinfo:imperative,,
apertium:imp,lexinfo:mood,apertium:imp,,
apertium:imperf,lexinfo:aspect,lexinfo:imperfective,,
apertium:impers,lexinfo:person,apertium:impers,,
apertium:impf,lexinfo:aspect,lexinfo:imperfective,,
apertium:impf,lexinfo:verbFormMood,lexinfo:participle,,
apertium:Imprt,lexinfo:mood,lexinfo:imperative,,
apertium:ind,lexinfo:morphosyntacticProperty,apertium:ind,,
apertium:indecl,lexinfo:morphosyntacticProperty,apertium:indecl,,
apertium:indef,lexinfo:definiteness,lexinfo:indefinite,,
apertium:indef,lexinfo:partOfSpeech,lexinfo:indefinitePronoun,pron,
