"explicitement"-adverb-fr "eksplicite"-adverb-eo
"perdre"-verb-fr "perdi"-verb-eo
"provizi"-verb-eo "pourvoir"-verb-fr
"pourvoir"-verb-fr "provizi"-verb-eo
"atingi"-verb-eo "remporter"-verb-fr
"remporter"-verb-fr "atingi"-verb-eo
"kapti"-verb-eo "capturer"-verb-fr
"capturer"-verb-fr "kapti"-verb-eo
"éclaircir"-verb-fr "klarigi"-verb-eo
"klarigi"-verb-eo "éclaircir"-verb-fr
"accroître"-verb-fr "pliigi"-verb-eo
"pliigi"-verb-eo "accroître"-verb-fr
"pliigi"-verb-eo "augmenter"-verb-fr
"augmenter"-verb-fr "pliigi"-verb-eo
"levi"-verb-eo "lever"-verb-fr
"levi"-verb-eo "dresser"-verb-fr
"levi"-verb-eo "relever"-verb-fr
"lever"-verb-fr "levi"-verb-eo
"dresser"-verb-fr "levi"-verb-eo
"dresser"-verb-fr "dresi"-verb-eo
"relever"-verb-fr "levi"-verb-eo
"dresi"-verb-eo "dresser"-verb-fr
"premi"-verb-eo "appuyer sur"-verb-fr
"appuyer sur"-verb-fr "premi"-verb-eo
"fondi"-verb-eo "fonder"-verb-fr
"fonder"-verb-fr "fondi"-verb-eo
"restituer"-verb-fr "restitui"-verb-eo
"restitui"-verb-eo "restituer"-verb-fr
"rentrer"-verb-fr "reveni"-verb-eo
"reveni"-verb-eo "rentrer"-verb-fr
"reveni"-verb-eo "rendre"-verb-fr
"reveni"-verb-eo "revenir"-verb-fr
"rendre"-verb-fr "reveni"-verb-eo
"revenir"-verb-fr "reveni"-verb-eo
"approuver"-verb-fr "aprobi"-verb-eo
"aprobi"-verb-eo "approuver"-verb-fr
"frapper"-verb-fr "frapi"-verb-eo
"frapper"-verb-fr "bati"-verb-eo
"frapi"-verb-eo "frapper"-verb-fr
"bati"-verb-eo "frapper"-verb-fr
"proposer"-verb-fr "proponi"-verb-eo
"proponi"-verb-eo "proposer"-verb-fr
"entrer"-verb-fr "eniri"-verb-eo
"eniri"-verb-eo "entrer"-verb-fr
"pagi"-verb-eo "appointer"-verb-fr
"appointer"-verb-fr "pagi"-verb-eo
"verser"-verb-fr "verŝi"-verb-eo
"verŝi"-verb-eo "verser"-verb-fr
"verŝi"-verb-eo "déverser"-verb-fr
"verŝi"-verb-eo "dumper"-verb-fr
"verŝi"-verb-eo "renverser"-verb-fr
"déverser"-verb-fr "verŝi"-verb-eo
"dumper"-verb-fr "verŝi"-verb-eo
"renverser"-verb-fr "verŝi"-verb-eo
"ordigi"-verb-eo "sommer"-verb-fr
"sommer"-verb-fr "ordigi"-verb-eo
"postuli"-verb-eo "requérir"-verb-fr
"postuli"-verb-eo "exiger"-verb-fr
"requérir"-verb-fr "postuli"-verb-eo
"exiger"-verb-fr "postuli"-verb-eo
"exiger"-verb-fr "depostuli"-verb-eo
"depostuli"-verb-eo "exiger"-verb-fr
"komuniki"-verb-eo "communiquer"-verb-fr
"communiquer"-verb-fr "komuniki"-verb-eo
"traverser"-verb-fr "trapasi"-verb-eo
"trapasi"-verb-eo "traverser"-verb-fr
"affirmer"-verb-fr "aserti"-verb-eo
"aserti"-verb-eo "affirmer"-verb-fr
"porti"-verb-eo "mener"-verb-fr
"porti"-verb-eo "porter"-verb-fr
"porti"-verb-eo "emmener"-verb-fr
"mener"-verb-fr "porti"-verb-eo
"porter"-verb-fr "porti"-verb-eo
"emmener"-verb-fr "porti"-verb-eo
"ĝeni"-verb-eo "embêter"-verb-fr
"ĝeni"-verb-eo "gêner"-verb-fr
"embêter"-verb-fr "ĝeni"-verb-eo
"gêner"-verb-fr "ĝeni"-verb-eo
"gêner"-verb-fr "malhelpi"-verb-eo
"malhelpi"-verb-eo "gêner"-verb-fr
"kaŝi"-verb-eo "cacher"-verb-fr
"cacher"-verb-fr "kaŝi"-verb-eo
"aspekti"-verb-eo "sembler"-verb-fr
"sembler"-verb-fr "aspekti"-verb-eo
"sembler"-verb-fr "ŝajni"-verb-eo
"ŝajni"-verb-eo "sembler"-verb-fr
"ĝui"-verb-eo "jouir"-verb-fr
"jouir"-verb-fr "ĝui"-verb-eo
"amuser"-verb-fr "amuzi"-verb-eo
"amuzi"-verb-eo "amuser"-verb-fr
"amuzi"-verb-eo "divertir"-verb-fr
"divertir"-verb-fr "amuzi"-verb-eo
"malŝarĝi"-verb-eo "télécharger"-verb-fr
"télécharger"-verb-fr "malŝarĝi"-verb-eo
"télécharger"-verb-fr "elŝuti"-verb-eo
"elŝuti"-verb-eo "télécharger"-verb-fr
"détendre"-verb-fr "malstreĉi"-verb-eo
"malstreĉi"-verb-eo "détendre"-verb-fr
"devigi"-verb-eo "contraindre"-verb-fr
"devigi"-verb-eo "obliger"-verb-fr
"contraindre"-verb-fr "devigi"-verb-eo
"obliger"-verb-fr "devigi"-verb-eo
"ressortir"-verb-fr "eliri"-verb-eo
"ressortir"-verb-fr "reliefigi"-verb-eo
"eliri"-verb-eo "ressortir"-verb-fr
"eliri"-verb-eo "sortir"-verb-fr
"reliefigi"-verb-eo "ressortir"-verb-fr
"sortir"-verb-fr "eliri"-verb-eo
"eldoni"-verb-eo "publier"-verb-fr
"publier"-verb-fr "eldoni"-verb-eo
"publier"-verb-fr "publikigi"-verb-eo
"publikigi"-verb-eo "publier"-verb-fr
"etendi"-verb-eo "étaler"-verb-fr
"étaler"-verb-fr "etendi"-verb-eo
"kuraci"-verb-eo "guérir"-verb-fr
"guérir"-verb-fr "kuraci"-verb-eo
"guérir"-verb-fr "sanigi"-verb-eo
"prigardi"-verb-eo "surveiller"-verb-fr
"surveiller"-verb-fr "prigardi"-verb-eo
"remarquer"-verb-fr "rimarki"-verb-eo
"rimarki"-verb-eo "remarquer"-verb-fr
"noti"-verb-eo "noter"-verb-fr
"noter"-verb-fr "noti"-verb-eo
"bouler"-verb-fr "ruliĝi"-verb-eo
"ruliĝi"-verb-eo "bouler"-verb-fr
"choir"-verb-fr "fali"-verb-eo
"fali"-verb-eo "choir"-verb-fr
"fali"-verb-eo "chuter"-verb-fr
"fali"-verb-eo "tomber"-verb-fr
"chuter"-verb-fr "fali"-verb-eo
"tomber"-verb-fr "fali"-verb-eo
"separi"-verb-eo "séparer"-verb-fr
"séparer"-verb-fr "separi"-verb-eo
"reporter"-verb-fr "prokrasti"-verb-eo
"prokrasti"-verb-eo "reporter"-verb-fr
"prokrasti"-verb-eo "ajourner"-verb-fr
"prokrasti"-verb-eo "retarder"-verb-fr
"prokrasti"-verb-eo "attarder"-verb-fr
"prokrasti"-verb-eo "arriérer"-verb-fr
"ajourner"-verb-fr "prokrasti"-verb-eo
"retarder"-verb-fr "prokrasti"-verb-eo
"attarder"-verb-fr "prokrasti"-verb-eo
"arriérer"-verb-fr "prokrasti"-verb-eo
"ĉasi"-verb-eo "chasser"-verb-fr
"chasser"-verb-fr "ĉasi"-verb-eo
"persekuti"-verb-eo "courser"-verb-fr
"courser"-verb-fr "persekuti"-verb-eo
"verrouiller"-verb-fr "bloki"-verb-eo
"bloki"-verb-eo "verrouiller"-verb-fr
"bloki"-verb-eo "bloquer"-verb-fr
"bloquer"-verb-fr "bloki"-verb-eo
"kolekti"-verb-eo "collecter"-verb-fr
"kolekti"-verb-eo "ramasser"-verb-fr
"kolekti"-verb-eo "recueillir"-verb-fr
"collecter"-verb-fr "kolekti"-verb-eo
"ramasser"-verb-fr "kolekti"-verb-eo
"recueillir"-verb-fr "kolekti"-verb-eo
"accomplir"-verb-fr "plenumi"-verb-eo
"plenumi"-verb-eo "accomplir"-verb-fr
"finiĝi"-verb-eo "achever"-verb-fr
"finiĝi"-verb-eo "finir"-verb-fr
"achever"-verb-fr "finiĝi"-verb-eo
"finir"-verb-fr "finiĝi"-verb-eo
"causer"-verb-fr "kaŭzi"-verb-eo
"kaŭzi"-verb-eo "causer"-verb-fr
"faire"-verb-fr "fari"-verb-eo
"fari"-verb-eo "faire"-verb-fr
"fari"-verb-eo "commettre"-verb-fr
"commettre"-verb-fr "fari"-verb-eo
"ekzekuti"-verb-eo "exécuter"-verb-fr
"exécuter"-verb-fr "ekzekuti"-verb-eo
"trakti"-verb-eo "traiter"-verb-fr
